,x,y,radius,breast_area
test_Mix_DPerc0_c_0.dcm,3320.0,2387.0,181.01933598375626,1693536
test_Mix_DPerc0_c_0.dcm,3162.0,2636.0,181.01933598375626,1693536
test_Mix_DPerc0_c_0.dcm,3160.0,1696.0,181.01933598375626,1693536
test_Mix_DPerc0_c_0.dcm,3151.0,2058.0,181.01933598375626,1693536
test_Mix_DPerc0_c_0.dcm,2937.0,2359.0,181.01933598375626,1693536
test_Mix_DPerc0_c_0.dcm,3391.0,1136.0,128.00000000000006,1693536
test_Mix_DPerc0_c_0.dcm,3307.0,1285.0,128.00000000000006,1693536
test_Mix_DPerc0_c_0.dcm,3262.0,3129.0,128.00000000000006,1693536
test_Mix_DPerc0_c_0.dcm,3154.0,2937.0,128.00000000000006,1693536
test_Mix_DPerc0_c_0.dcm,2887.0,2749.0,128.00000000000006,1693536
test_Mix_DPerc0_c_0.dcm,3420.0,2041.0,90.50966799187813,1693536
test_Mix_DPerc0_c_0.dcm,3417.0,3198.0,90.50966799187813,1693536
test_Mix_DPerc0_c_0.dcm,3410.0,2990.0,90.50966799187813,1693536
test_Mix_DPerc0_c_0.dcm,3386.0,1735.0,90.50966799187813,1693536
test_Mix_DPerc0_c_0.dcm,3253.0,2839.0,90.50966799187813,1693536
test_Mix_DPerc0_c_0.dcm,3448.0,2804.0,64.00000000000003,1693536
test_Mix_DPerc0_c_0.dcm,3438.0,1816.0,64.00000000000003,1693536
test_Mix_DPerc0_c_0.dcm,3435.0,1476.0,64.00000000000003,1693536
test_Mix_DPerc0_c_0.dcm,3296.0,1557.0,64.00000000000003,1693536
test_Mix_DPerc0_c_0.dcm,3189.0,1209.0,64.00000000000003,1693536
test_Mix_DPerc0_c_0.dcm,3092.0,1440.0,64.00000000000003,1693536
test_Mix_DPerc0_c_0.dcm,2970.0,1756.0,64.00000000000003,1693536
test_Mix_DPerc0_c_0.dcm,3467.0,1672.0,45.25483399593906,1693536
test_Mix_DPerc0_c_0.dcm,3452.0,977.0,45.25483399593906,1693536
test_Mix_DPerc0_c_0.dcm,3418.0,2172.0,45.25483399593906,1693536
test_Mix_DPerc0_c_0.dcm,3326.0,2903.0,45.25483399593906,1693536
test_Mix_DPerc0_c_0.dcm,3325.0,1439.0,45.25483399593906,1693536
test_Mix_DPerc0_c_0.dcm,3287.0,1911.0,45.25483399593906,1693536
test_Mix_DPerc0_c_0.dcm,3108.0,3119.0,45.25483399593906,1693536
test_Mix_DPerc0_c_0.dcm,2885.0,1966.0,45.25483399593906,1693536
test_Mix_DPerc0_c_0.dcm,3485.0,1032.0,32.00000000000001,1693536
test_Mix_DPerc0_c_0.dcm,3481.0,2188.0,32.00000000000001,1693536
test_Mix_DPerc0_c_0.dcm,3481.0,1934.0,32.00000000000001,1693536
test_Mix_DPerc0_c_0.dcm,3470.0,2620.0,32.00000000000001,1693536
test_Mix_DPerc0_c_0.dcm,3465.0,896.0,32.00000000000001,1693536
test_Mix_DPerc0_c_0.dcm,3439.0,1617.0,32.00000000000001,1693536
test_Mix_DPerc0_c_0.dcm,3438.0,1562.0,32.00000000000001,1693536
test_Mix_DPerc0_c_0.dcm,3416.0,1879.0,32.00000000000001,1693536
test_Mix_DPerc0_c_0.dcm,3379.0,2775.0,32.00000000000001,1693536
test_Mix_DPerc0_c_0.dcm,3376.0,1513.0,32.00000000000001,1693536
test_Mix_DPerc0_c_0.dcm,3365.0,1562.0,32.00000000000001,1693536
test_Mix_DPerc0_c_0.dcm,3319.0,1800.0,32.00000000000001,1693536
test_Mix_DPerc0_c_0.dcm,3314.0,944.0,32.00000000000001,1693536
test_Mix_DPerc0_c_0.dcm,3283.0,1861.0,32.00000000000001,1693536
test_Mix_DPerc0_c_0.dcm,3490.0,1402.0,22.627416997969526,1693536
test_Mix_DPerc0_c_0.dcm,3489.0,1368.0,22.627416997969526,1693536
test_Mix_DPerc0_c_0.dcm,3487.0,2126.0,22.627416997969526,1693536
test_Mix_DPerc0_c_0.dcm,3486.0,1256.0,22.627416997969526,1693536
test_Mix_DPerc0_c_0.dcm,3485.0,1579.0,22.627416997969526,1693536
test_Mix_DPerc0_c_0.dcm,3482.0,1758.0,22.627416997969526,1693536
test_Mix_DPerc0_c_0.dcm,3480.0,2741.0,22.627416997969526,1693536
test_Mix_DPerc0_c_0.dcm,3426.0,1943.0,22.627416997969526,1693536
test_Mix_DPerc0_c_0.dcm,3421.0,875.0,22.627416997969526,1693536
test_Mix_DPerc0_c_0.dcm,3409.0,835.0,22.627416997969526,1693536
test_Mix_DPerc0_c_0.dcm,3393.0,1624.0,22.627416997969526,1693536
test_Mix_DPerc0_c_0.dcm,3339.0,1611.0,22.627416997969526,1693536
test_Mix_DPerc0_c_0.dcm,3306.0,2968.0,22.627416997969526,1693536
test_Mix_DPerc0_c_0.dcm,3247.0,1484.0,22.627416997969526,1693536
test_Mix_DPerc0_c_0.dcm,3064.0,1382.0,22.627416997969526,1693536
test_Mix_DPerc0_c_0.dcm,3059.0,1875.0,22.627416997969526,1693536
test_Mix_DPerc0_c_0.dcm,2874.0,2617.0,22.627416997969526,1693536
test_Mix_DPerc0_c_0.dcm,2869.0,2594.0,22.627416997969526,1693536
test_Mix_DPerc0_c_0.dcm,2830.0,2634.0,22.627416997969526,1693536
test_Mix_DPerc0_c_0.dcm,3498.0,3011.0,16.000000000000004,1693536
test_Mix_DPerc0_c_0.dcm,3498.0,1631.0,16.000000000000004,1693536
test_Mix_DPerc0_c_0.dcm,3497.0,3316.0,16.000000000000004,1693536
test_Mix_DPerc0_c_0.dcm,3495.0,2582.0,16.000000000000004,1693536
test_Mix_DPerc0_c_0.dcm,3495.0,1223.0,16.000000000000004,1693536
test_Mix_DPerc0_c_0.dcm,3474.0,1298.0,16.000000000000004,1693536
test_Mix_DPerc0_c_0.dcm,3451.0,1883.0,16.000000000000004,1693536
test_Mix_DPerc0_c_0.dcm,3430.0,3089.0,16.000000000000004,1693536
test_Mix_DPerc0_c_0.dcm,3403.0,1573.0,16.000000000000004,1693536
test_Mix_DPerc0_c_0.dcm,3391.0,2851.0,16.000000000000004,1693536
test_Mix_DPerc0_c_0.dcm,3382.0,1851.0,16.000000000000004,1693536
test_Mix_DPerc0_c_0.dcm,3346.0,957.0,16.000000000000004,1693536
test_Mix_DPerc0_c_0.dcm,3345.0,918.0,16.000000000000004,1693536
test_Mix_DPerc0_c_0.dcm,3343.0,1855.0,16.000000000000004,1693536
test_Mix_DPerc0_c_0.dcm,3339.0,3291.0,16.000000000000004,1693536
test_Mix_DPerc0_c_0.dcm,3318.0,3273.0,16.000000000000004,1693536
test_Mix_DPerc0_c_0.dcm,3172.0,1488.0,16.000000000000004,1693536
test_Mix_DPerc0_c_0.dcm,3099.0,1247.0,16.000000000000004,1693536
test_Mix_DPerc0_c_0.dcm,3506.0,1837.0,11.313708498984761,1693536
test_Mix_DPerc0_c_0.dcm,3505.0,1535.0,11.313708498984761,1693536
test_Mix_DPerc0_c_0.dcm,3504.0,3072.0,11.313708498984761,1693536
test_Mix_DPerc0_c_0.dcm,3503.0,887.0,11.313708498984761,1693536
test_Mix_DPerc0_c_0.dcm,3502.0,2508.0,11.313708498984761,1693536
test_Mix_DPerc0_c_0.dcm,3499.0,2090.0,11.313708498984761,1693536
test_Mix_DPerc0_c_0.dcm,3499.0,830.0,11.313708498984761,1693536
test_Mix_DPerc0_c_0.dcm,3498.0,1459.0,11.313708498984761,1693536
test_Mix_DPerc0_c_0.dcm,3494.0,2483.0,11.313708498984761,1693536
test_Mix_DPerc0_c_0.dcm,3493.0,1318.0,11.313708498984761,1693536
test_Mix_DPerc0_c_0.dcm,3487.0,3131.0,11.313708498984761,1693536
test_Mix_DPerc0_c_0.dcm,3474.0,821.0,11.313708498984761,1693536
test_Mix_DPerc0_c_0.dcm,3452.0,3353.0,11.313708498984761,1693536
test_Mix_DPerc0_c_0.dcm,3446.0,1932.0,11.313708498984761,1693536
test_Mix_DPerc0_c_0.dcm,3411.0,929.0,11.313708498984761,1693536
test_Mix_DPerc0_c_0.dcm,3408.0,3092.0,11.313708498984761,1693536
test_Mix_DPerc0_c_0.dcm,3383.0,1590.0,11.313708498984761,1693536
test_Mix_DPerc0_c_0.dcm,3377.0,2808.0,11.313708498984761,1693536
test_Mix_DPerc0_c_0.dcm,3364.0,2831.0,11.313708498984761,1693536
test_Mix_DPerc0_c_0.dcm,3364.0,1601.0,11.313708498984761,1693536
test_Mix_DPerc0_c_0.dcm,3349.0,2151.0,11.313708498984761,1693536
test_Mix_DPerc0_c_0.dcm,3341.0,1837.0,11.313708498984761,1693536
test_Mix_DPerc0_c_0.dcm,3332.0,1888.0,11.313708498984761,1693536
test_Mix_DPerc0_c_0.dcm,3262.0,1438.0,11.313708498984761,1693536
test_Mix_DPerc0_c_0.dcm,3206.0,1498.0,11.313708498984761,1693536
test_Mix_DPerc0_c_0.dcm,3181.0,1514.0,11.313708498984761,1693536
test_Mix_DPerc0_c_0.dcm,3139.0,1487.0,11.313708498984761,1693536
test_Mix_DPerc0_c_0.dcm,3071.0,1291.0,11.313708498984761,1693536
test_Mix_DPerc0_c_0.dcm,3055.0,1338.0,11.313708498984761,1693536
test_Mix_DPerc0_c_0.dcm,2996.0,1816.0,11.313708498984761,1693536
test_Mix_DPerc0_c_0.dcm,2978.0,1513.0,11.313708498984761,1693536
test_Mix_DPerc0_c_0.dcm,2961.0,2562.0,11.313708498984761,1693536
test_Mix_DPerc0_c_0.dcm,2944.0,1822.0,11.313708498984761,1693536
test_Mix_DPerc0_c_0.dcm,2853.0,2570.0,11.313708498984761,1693536
test_Mix_DPerc0_c_0.dcm,2825.0,2604.0,11.313708498984761,1693536
test_Mix_DPerc0_c_0.dcm,3509.0,3093.0,8.0,1693536
test_Mix_DPerc0_c_0.dcm,3509.0,2618.0,8.0,1693536
test_Mix_DPerc0_c_0.dcm,3509.0,2343.0,8.0,1693536
test_Mix_DPerc0_c_0.dcm,3509.0,2314.0,8.0,1693536
test_Mix_DPerc0_c_0.dcm,3509.0,1273.0,8.0,1693536
test_Mix_DPerc0_c_0.dcm,3508.0,1736.0,8.0,1693536
test_Mix_DPerc0_c_0.dcm,3508.0,1514.0,8.0,1693536
test_Mix_DPerc0_c_0.dcm,3508.0,1310.0,8.0,1693536
test_Mix_DPerc0_c_0.dcm,3508.0,998.0,8.0,1693536
test_Mix_DPerc0_c_0.dcm,3508.0,864.0,8.0,1693536
test_Mix_DPerc0_c_0.dcm,3507.0,2149.0,8.0,1693536
test_Mix_DPerc0_c_0.dcm,3506.0,2330.0,8.0,1693536
test_Mix_DPerc0_c_0.dcm,3506.0,1870.0,8.0,1693536
test_Mix_DPerc0_c_0.dcm,3504.0,1716.0,8.0,1693536
test_Mix_DPerc0_c_0.dcm,3503.0,3055.0,8.0,1693536
test_Mix_DPerc0_c_0.dcm,3501.0,2385.0,8.0,1693536
test_Mix_DPerc0_c_0.dcm,3501.0,1331.0,8.0,1693536
test_Mix_DPerc0_c_0.dcm,3497.0,1437.0,8.0,1693536
test_Mix_DPerc0_c_0.dcm,3496.0,3138.0,8.0,1693536
test_Mix_DPerc0_c_0.dcm,3480.0,3088.0,8.0,1693536
test_Mix_DPerc0_c_0.dcm,3479.0,1618.0,8.0,1693536
test_Mix_DPerc0_c_0.dcm,3461.0,3334.0,8.0,1693536
test_Mix_DPerc0_c_0.dcm,3454.0,1904.0,8.0,1693536
test_Mix_DPerc0_c_0.dcm,3439.0,3322.0,8.0,1693536
test_Mix_DPerc0_c_0.dcm,3428.0,850.0,8.0,1693536
test_Mix_DPerc0_c_0.dcm,3425.0,933.0,8.0,1693536
test_Mix_DPerc0_c_0.dcm,3384.0,919.0,8.0,1693536
test_Mix_DPerc0_c_0.dcm,3377.0,877.0,8.0,1693536
test_Mix_DPerc0_c_0.dcm,3367.0,1644.0,8.0,1693536
test_Mix_DPerc0_c_0.dcm,3364.0,2854.0,8.0,1693536
test_Mix_DPerc0_c_0.dcm,3354.0,2753.0,8.0,1693536
test_Mix_DPerc0_c_0.dcm,3350.0,1644.0,8.0,1693536
test_Mix_DPerc0_c_0.dcm,3288.0,2986.0,8.0,1693536
test_Mix_DPerc0_c_0.dcm,3249.0,964.0,8.0,1693536
test_Mix_DPerc0_c_0.dcm,3234.0,1505.0,8.0,1693536
test_Mix_DPerc0_c_0.dcm,3206.0,1519.0,8.0,1693536
test_Mix_DPerc0_c_0.dcm,3128.0,3218.0,8.0,1693536
test_Mix_DPerc0_c_0.dcm,3091.0,1320.0,8.0,1693536
test_Mix_DPerc0_c_0.dcm,3088.0,1291.0,8.0,1693536
test_Mix_DPerc0_c_0.dcm,3081.0,1891.0,8.0,1693536
test_Mix_DPerc0_c_0.dcm,3062.0,3081.0,8.0,1693536
