,area,min_row,min_col,max_row,max_col,breast_area,contrast,dissimilarity,homogeneity,energy
test_Mix_DPerc0_c_0.dcm,86.0,695,533,702,561,1693536,26.541032848324512,4.070684523809524,0.23578149105633173,0.09448816601895557
test_Mix_DPerc0_c_0.dcm,302.0,695,533,723,627,1693536,12.696304308156574,2.547494254762328,0.34736561950911093,0.05537862532060333
test_Mix_DPerc0_c_0.dcm,59.0,701,516,707,535,1693536,20.79020467836257,3.652046783625731,0.22432316983848158,0.11303588889452895
test_Mix_DPerc0_c_0.dcm,85.0,701,637,710,664,1693536,8.60102831196581,2.165130876068376,0.37586324091855866,0.11838028220859784
test_Mix_DPerc0_c_0.dcm,85.0,704,481,712,506,1693536,11.91838913690476,2.7050409226190477,0.2919635307024044,0.09328965318266733
test_Mix_DPerc0_c_0.dcm,107.0,709,443,730,468,1693536,14.783511904761905,2.842782738095238,0.3127676606922368,0.06510981993483071
test_Mix_DPerc0_c_0.dcm,79.0,711,677,727,694,1693536,5.7972675398284315,1.7590437346813723,0.43293594775992916,0.11578182149672185
test_Mix_DPerc0_c_0.dcm,89.0,712,469,718,499,1693536,14.702586206896552,2.757758620689655,0.3425404965260754,0.1154684924581256
test_Mix_DPerc0_c_0.dcm,169.0,716,386,735,430,1693536,20.542463535291716,3.384036779978487,0.2857828382730253,0.05767148487921689
test_Mix_DPerc0_c_0.dcm,63.0,716,425,729,445,1693536,14.379763410931174,2.8553538292847502,0.3096874276436844,0.08482965177642118
test_Mix_DPerc0_c_0.dcm,52.0,716,723,728,737,1693536,15.66221278721279,2.956106393606393,0.2900908568907796,0.10569289392700877
test_Mix_DPerc0_c_0.dcm,76.0,722,725,736,747,1693536,9.939655582512724,2.3435314685314683,0.3523653041481889,0.08919688530155942
test_Mix_DPerc0_c_0.dcm,50.0,724,574,739,586,1693536,9.752272727272727,2.456899350649351,0.32105720569824153,0.10497477020684466
test_Mix_DPerc0_c_0.dcm,116.0,727,689,738,726,1693536,7.108848621348622,2.069113431613432,0.3717951253378623,0.0928029281477755
test_Mix_DPerc0_c_0.dcm,1.0,728,401,729,402,1693536,0.0,0.0,0.0,0.0
test_Mix_DPerc0_c_0.dcm,56.0,730,636,735,656,1693536,5.760032894736842,1.7983552631578945,0.42983929048422076,0.16401951910179927
test_Mix_DPerc0_c_0.dcm,80.0,731,376,758,390,1693536,15.400186085282241,3.0249747581478346,0.2849128927840683,0.07057523032174738
test_Mix_DPerc0_c_0.dcm,78.0,739,383,749,406,1693536,8.870103205972772,2.2627854633289415,0.36069709256034466,0.10671898809136585
test_Mix_DPerc0_c_0.dcm,56.0,744,583,763,595,1693536,3.0173777246145663,1.317334529505582,0.49912863045989986,0.13635228174929281
test_Mix_DPerc0_c_0.dcm,158.0,752,324,770,351,1693536,12.29303355957768,2.6440579436902967,0.31903438985187743,0.07032790823105067
test_Mix_DPerc0_c_0.dcm,114.0,756,395,765,435,1693536,10.767481303418801,2.47946047008547,0.33678141291585206,0.09223281261371444
test_Mix_DPerc0_c_0.dcm,115.0,759,364,775,393,1693536,9.274032738095238,2.360618072660099,0.33596924108826404,0.07540522746700365
test_Mix_DPerc0_c_0.dcm,113.0,764,297,790,323,1693536,11.758953846153847,2.6287538461538467,0.318607538168159,0.06323205112113534
test_Mix_DPerc0_c_0.dcm,60.0,765,337,777,358,1693536,10.256168831168829,2.3609983766233764,0.36185655304562636,0.11624522909937766
test_Mix_DPerc0_c_0.dcm,184.0,772,249,795,286,1693536,21.08862623740341,3.5216577125544513,0.24751980630820863,0.05043112959590499
test_Mix_DPerc0_c_0.dcm,51.0,792,257,808,265,1693536,11.656770833333331,2.7296875,0.29256259633283577,0.11640665949690315
test_Mix_DPerc0_c_0.dcm,63.0,799,480,818,499,1693536,4.277331059129304,1.5177063027940223,0.4758428899949636,0.13525198606613126
test_Mix_DPerc0_c_0.dcm,390.0,803,204,844,258,1693536,13.83098131423531,2.6768939030781813,0.33601151660370676,0.04771189121807533
test_Mix_DPerc0_c_0.dcm,62.0,804,516,809,537,1693536,5.682678571428571,1.8239285714285716,0.41309543536749416,0.16164120902027068
test_Mix_DPerc0_c_0.dcm,96.0,822,513,856,518,1693536,10.900194964349375,2.505197192513369,0.34392772739346256,0.12452665267176301
test_Mix_DPerc0_c_0.dcm,67.0,822,752,845,757,1693536,5.775271739130435,1.8355484189723321,0.4123506647755369,0.1511667666686219
test_Mix_DPerc0_c_0.dcm,58.0,827,190,837,205,1693536,34.62946428571428,4.657242063492062,0.18878096638251468,0.09239469968733559
test_Mix_DPerc0_c_0.dcm,57.0,835,195,850,211,1693536,15.871897321428573,3.0915252976190484,0.26912349866945706,0.08263805633199248
test_Mix_DPerc0_c_0.dcm,66.0,835,822,848,836,1693536,19.343164447731755,3.406272013243166,0.26749014793252623,0.09330553131248338
test_Mix_DPerc0_c_0.dcm,55.0,839,808,853,818,1693536,9.569703907203907,2.2987332112332113,0.35972921594108387,0.12066147926746794
test_Mix_DPerc0_c_0.dcm,55.0,849,190,858,208,1693536,12.536151960784313,2.5588235294117645,0.3528597163031847,0.10695798876001103
test_Mix_DPerc0_c_0.dcm,64.0,851,181,862,198,1693536,21.020157921122998,3.61128425802139,0.243713069871281,0.08896116667683959
test_Mix_DPerc0_c_0.dcm,50.0,854,488,869,506,1693536,5.616526610644257,1.5977941176470587,0.49809538110524915,0.13529011050082307
test_Mix_DPerc0_c_0.dcm,59.0,855,369,859,390,1693536,13.854910714285712,3.009970238095238,0.27638470354315336,0.15796959376998165
test_Mix_DPerc0_c_1.dcm,270.0,693,544,717,630,1693536,12.982410746148814,2.593881408731338,0.34441559806971306,0.059252170075268444
test_Mix_DPerc0_c_1.dcm,89.0,695,534,701,563,1693536,23.753232758620687,3.863793103448276,0.2395748941480493,0.10220235186365417
test_Mix_DPerc0_c_1.dcm,105.0,696,639,709,668,1693536,9.225597409056462,2.2856935629026145,0.3624350131927611,0.08755086274474917
test_Mix_DPerc0_c_1.dcm,51.0,701,519,706,538,1693536,15.850274122807019,3.1464364035087717,0.2743010031344283,0.13506914365307646
test_Mix_DPerc0_c_1.dcm,79.0,704,482,711,506,1693536,8.10254917184265,2.211277173913044,0.3536946329065335,0.11799520921926607
test_Mix_DPerc0_c_1.dcm,97.0,709,444,731,469,1693536,11.79420634920635,2.5256195887445894,0.34515550793221017,0.06579281266723058
test_Mix_DPerc0_c_1.dcm,116.0,712,461,720,500,1693536,10.142513736263737,2.322711827646038,0.37477529293206546,0.10087952027036812
test_Mix_DPerc0_c_1.dcm,185.0,716,387,734,433,1693536,18.088833238609457,3.17568082788671,0.294051981637346,0.06028414070364753
test_Mix_DPerc0_c_1.dcm,61.0,716,427,729,447,1693536,11.783854166666668,2.624108046558704,0.3202232805657821,0.08950255292868589
test_Mix_DPerc0_c_1.dcm,83.0,722,727,736,747,1693536,8.399374638519376,2.154652255639098,0.37947469951461155,0.09340937836794694
test_Mix_DPerc0_c_1.dcm,54.0,724,554,729,573,1693536,13.475237573099417,2.790698099415205,0.3214953978611299,0.1403070219752462
test_Mix_DPerc0_c_1.dcm,116.0,727,690,738,727,1693536,5.949800368550369,1.9068028255528255,0.38876946312578264,0.09885954577233547
test_Mix_DPerc0_c_1.dcm,58.0,730,638,735,658,1693536,5.185279605263158,1.7532072368421057,0.4192021899921475,0.16692552697832058
test_Mix_DPerc0_c_1.dcm,63.0,733,378,755,391,1693536,14.800387112887112,2.9617014929514927,0.2882652149439301,0.07743882509899187
test_Mix_DPerc0_c_1.dcm,128.0,734,385,749,424,1693536,5.992763157894736,1.863222961249277,0.40627612940965185,0.08522744908453944
test_Mix_DPerc0_c_1.dcm,55.0,744,584,763,597,1693536,3.131187678062678,1.316316632928475,0.5057327950074826,0.13396672982599928
test_Mix_DPerc0_c_1.dcm,136.0,753,326,771,351,1693536,9.993392565359475,2.3226695261437906,0.3649354846074546,0.0832670850150851
test_Mix_DPerc0_c_1.dcm,82.0,757,396,764,425,1693536,11.14077527562749,2.451647900539526,0.3636543268694985,0.11401949374704229
test_Mix_DPerc0_c_1.dcm,129.0,760,366,778,395,1693536,9.080446187095527,2.2669500990051192,0.35841064634482367,0.07995762286381379
test_Mix_DPerc0_c_1.dcm,114.0,764,299,786,325,1693536,11.07465700965701,2.5169963369963364,0.33450145846378443,0.06779356331934717
test_Mix_DPerc0_c_1.dcm,155.0,773,260,792,297,1693536,13.857596357322237,2.82163385973693,0.3041929423189771,0.0629790736559685
test_Mix_DPerc0_c_1.dcm,50.0,777,355,783,372,1693536,4.7258731617647065,1.6789981617647058,0.4213371815179233,0.16876432246423295
test_Mix_DPerc0_c_1.dcm,72.0,786,645,812,650,1693536,6.8479807692307695,1.9122499999999998,0.42186052287441483,0.1488832357214351
test_Mix_DPerc0_c_1.dcm,61.0,795,501,808,514,1693536,5.587005876068375,1.8758680555555558,0.3855989793199917,0.1254638611580825
test_Mix_DPerc0_c_1.dcm,71.0,797,482,818,501,1693536,3.5417058270676693,1.3715303884711778,0.503382666744095,0.12710409138051648
test_Mix_DPerc0_c_1.dcm,66.0,799,256,819,265,1693536,7.669915021929824,2.156921600877193,0.3525705220264316,0.10599237249543221
test_Mix_DPerc0_c_1.dcm,59.0,799,775,809,794,1693536,8.70873538011696,2.3644939896036385,0.3137434948087259,0.10688018173167499
test_Mix_DPerc0_c_1.dcm,56.0,804,519,809,538,1693536,4.4251827485380115,1.6604166666666664,0.41938986482910634,0.17132256751273833
test_Mix_DPerc0_c_1.dcm,225.0,819,215,843,260,1693536,7.586827857378131,2.0117475708168646,0.40224693711573034,0.07447289058980636
test_Mix_DPerc0_c_1.dcm,56.0,821,262,837,270,1693536,7.302306547619047,2.076860119047619,0.3622997825160917,0.13506470658234038
test_Mix_DPerc0_c_1.dcm,63.0,824,754,845,759,1693536,6.649374999999999,2.0082142857142857,0.3761352476021594,0.1486842471493328
test_Mix_DPerc0_c_1.dcm,89.0,826,186,840,206,1693536,25.921912955465586,3.9541281087333715,0.23240366977353438,0.07318451707633529
test_Mix_DPerc0_c_1.dcm,53.0,833,516,852,520,1693536,7.097161306042885,1.923062865497076,0.4313909529021758,0.18539139038688354
test_Mix_DPerc0_c_1.dcm,80.0,833,823,849,836,1693536,15.476612580128204,3.0524071848290597,0.2864627674237554,0.08627318601434399
