,x,y,radius,breast_area,contrast,dissimilarity,homogeneity,energy
test_Mix_DPerc0_c_0.dcm,3320.0,2387.0,181.01933598375626,1693536,0.47158184755949617,0.415766216195191,0.7976836221901443,0.172381913477837
test_Mix_DPerc0_c_0.dcm,3162.0,2636.0,181.01933598375626,1693536,0.5220111455771704,0.443872331011301,0.7858491607145099,0.1556692885168826
test_Mix_DPerc0_c_0.dcm,3160.0,1696.0,181.01933598375626,1693536,0.6367505829528202,0.5046152480651156,0.7607773406905785,0.14972119680340779
test_Mix_DPerc0_c_0.dcm,3151.0,2058.0,181.01933598375626,1693536,0.5814828629061746,0.48092850925133823,0.7695667607849402,0.1464395895463013
test_Mix_DPerc0_c_0.dcm,2937.0,2359.0,181.01933598375626,1693536,0.9738492752129557,0.6201571159755506,0.7227472500391738,0.11235644407987873
test_Mix_DPerc0_c_0.dcm,3391.0,1136.0,128.00000000000006,1693536,128.1700656298059,1.1125702103758173,0.7379822584678963,0.1380569353306827
test_Mix_DPerc0_c_0.dcm,3307.0,1285.0,128.00000000000006,1693536,0.6833964926350442,0.5265390189470396,0.7521750147012753,0.15040263234913215
test_Mix_DPerc0_c_0.dcm,3262.0,3129.0,128.00000000000006,1693536,0.6970857437644175,0.5397678251754133,0.745594847969061,0.12690465911291504
test_Mix_DPerc0_c_0.dcm,3154.0,2937.0,128.00000000000006,1693536,0.5774555909986543,0.47822539708285283,0.7707603258571472,0.15677744179856065
test_Mix_DPerc0_c_0.dcm,2887.0,2749.0,128.00000000000006,1693536,17.720704972246253,0.777655754397347,0.711890976687495,0.09207058309875063
test_Mix_DPerc0_c_0.dcm,3420.0,2041.0,90.50966799187813,1693536,0.5487797535449372,0.4475517696076901,0.7862515952470495,0.14829838886916435
test_Mix_DPerc0_c_0.dcm,3417.0,3198.0,90.50966799187813,1693536,0.5442279033113824,0.4515778611778659,0.7833767728084624,0.17198097043762278
test_Mix_DPerc0_c_0.dcm,3410.0,2990.0,90.50966799187813,1693536,0.5023627279631306,0.43607214194313537,0.7885869292163044,0.15878683976886104
test_Mix_DPerc0_c_0.dcm,3386.0,1735.0,90.50966799187813,1693536,0.42642311153418017,0.3814775730054202,0.8137307322600855,0.19073592098902858
test_Mix_DPerc0_c_0.dcm,3253.0,2839.0,90.50966799187813,1693536,0.4884718667748615,0.42808608501607315,0.7919480427850667,0.1802176391794699
test_Mix_DPerc0_c_0.dcm,3448.0,2804.0,64.00000000000003,1693536,0.5342167422616095,0.43855563687689886,0.7902010445909677,0.17032108857428963
test_Mix_DPerc0_c_0.dcm,3438.0,1816.0,64.00000000000003,1693536,0.43110690322943146,0.384187825016275,0.8125958070735075,0.2056804065105517
test_Mix_DPerc0_c_0.dcm,3435.0,1476.0,64.00000000000003,1693536,0.594468813937628,0.48086387969650946,0.7708218736042959,0.14863293473597744
test_Mix_DPerc0_c_0.dcm,3296.0,1557.0,64.00000000000003,1693536,0.43560154893747294,0.3977423599378449,0.8049147389310403,0.18412415969795978
test_Mix_DPerc0_c_0.dcm,3189.0,1209.0,64.00000000000003,1693536,0.7495965753650257,0.558835271967419,0.7394019087891472,0.12860262458848487
test_Mix_DPerc0_c_0.dcm,3092.0,1440.0,64.00000000000003,1693536,1.1832100636857525,0.7366401236708724,0.6752253421507033,0.09876070505359671
test_Mix_DPerc0_c_0.dcm,2970.0,1756.0,64.00000000000003,1693536,0.6614158091597434,0.5300398471890693,0.7480642711382638,0.12409198531024145
test_Mix_DPerc0_c_0.dcm,3467.0,1672.0,45.254833995939066,1693536,0.7120975886882969,0.5101744308378572,0.7645705113447785,0.16224510389759025
test_Mix_DPerc0_c_0.dcm,3452.0,977.0,45.254833995939066,1693536,0.9649765391575138,0.6547610781466986,0.7032429472279331,0.12557259150625097
test_Mix_DPerc0_c_0.dcm,3418.0,2172.0,45.254833995939066,1693536,0.5377993098514497,0.4623174683331229,0.7763827663371876,0.17198829551546643
test_Mix_DPerc0_c_0.dcm,3326.0,2903.0,45.254833995939066,1693536,0.4741935992930186,0.41929207170811766,0.7958441169044312,0.18577476154265804
test_Mix_DPerc0_c_0.dcm,3325.0,1439.0,45.254833995939066,1693536,0.37359392753440224,0.34068983293355215,0.8329321256971416,0.21670611281574972
